IdTransaccion;Fecha;IdCategoria;IdProducto;Producto;Cantidad;PrecioUnitario;TotalVenta
51;24/6/2024;2;51;Licuadora;1;680;680
52;25/6/2024;1;52;Plancha;1;340;340
53;26/6/2024;3;53;Refrigerador;1;2980;2980
54;27/6/2024;1;54;Estufa;1;980;980
55;28/6/2024;4;55;Microondas;1;420;420
56;29/6/2024;2;56;Lavavajillas;1;1350;1350
57;30/6/2024;1;57;Batidora;1;550;550
58;1/7/2024;3;58;Cafetera;1;750;750
59;2/7/2024;2;59;Secadora;1;1100;1100
60;3/7/2024;1;60;Ventilador;1;320;320
61;4/7/2024;4;61;Horno;1;820;820
62;5/7/2024;3;62;Congelador;1;1950;1950
63;6/7/2024;1;63;Aspiradora;1;620;620
64;7/7/2024;2;64;Licuadora;1;750;750
65;8/7/2024;1;65;Tostadora;1;280;280
66;9/7/2024;3;66;Cafetera;1;870;870
67;10/7/2024;1;67;Plancha;1;450;450
68;11/7/2024;4;68;Exprimidor;1;120;120
69;12/7/2024;2;69;Tetera;1;880;880
70;13/7/2024;1;70;Molinillo;1;320;320
71;14/7/2024;3;71;Freidora;1;580;580
72;15/7/2024;1;72;Sartén;1;390;390
73;16/7/2024;4;73;Licuadora;1;410;410
74;17/7/2024;2;74;Tostador;1;950;950
75;18/7/2024;1;75;Máquina de Coser;1;1320;1320
76;19/7/2024;3;76;Molinillo;1;690;690
77;20/7/2024;1;77;Hervidor;1;360;360
78;21/7/2024;4;78;Licuadora;1;480;480
79;22/7/2024;2;79;Tostador;1;810;810
80;23/7/2024;1;80;Máquina de Helado;1;1560;1560
81;24/7/2024;3;81;Molinillo;1;780;780
82;25/7/2024;1;82;Sartén;1;420;420
83;26/7/2024;4;83;Exprimidor;1;110;110
84;27/7/2024;2;84;Tetera;1;910;910
85;28/7/2024;1;85;Molinillo;1;350;350
86;29/7/2024;3;86;Freidora;1;620;620
87;30/7/2024;1;87;Sartén;1;440;440
88;31/7/2024;4;88;Licuadora;1;510;510
89;1/8/2024;2;89;Tostador;1;970;970
90;2/8/2024;1;90;Máquina de Coser;1;1720;1720
