IdTransaccion;Fecha;IdCategoria;IdProducto;Producto;Cantidad;PrecioUnitario;TotalVenta
1;5/5/2024;1;1;Televisor;1;890;890
2;6/5/2024;2;2;Lavadora;1;1550;1550
3;7/5/2024;1;3;Radio;1;950;950
4;8/5/2024;3;4;Refrigerador;1;2750;2750
5;9/5/2024;4;5;Microondas;1;320;320
6;10/5/2024;2;6;Secadora;1;1200;1200
7;11/5/2024;1;7;Ventilador;1;450;450
8;12/5/2024;3;8;Congelador;1;2100;2100
9;13/5/2024;2;9;Aspiradora;1;700;700
10;14/5/2024;1;10;Estufa;1;850;850
11;15/5/2024;4;11;Batidora;1;180;180
12;16/5/2024;3;12;Horno;1;1950;1950
13;17/5/2024;1;13;Licuadora;1;520;520
14;18/5/2024;2;14;Frigobar;1;980;980
15;19/5/2024;3;15;Cafetera;1;350;350
16;20/5/2024;1;16;Plancha;1;270;270
17;21/5/2024;4;17;Exprimidor;1;90;90
18;22/5/2024;2;18;Calentador;1;1100;1100
19;23/5/2024;1;19;Tostadora;1;420;420
20;24/5/2024;3;20;Freidora;1;670;670
21;25/5/2024;1;21;Molinillo;1;180;180
22;26/5/2024;4;22;Despachador de Agua;1;320;320
23;27/5/2024;2;23;Batidora de Mano;1;750;750
24;28/5/2024;1;24;Máquina de Coser;1;1100;1100
25;29/5/2024;3;25;Plancha para Panini;1;390;390
26;30/5/2024;1;26;Hervidor de Agua;1;280;280
27;31/5/2024;4;27;Licuadora Profesional;1;450;450
28;1/6/2024;2;28;Tostador de Café;1;890;890
29;2/6/2024;1;29;Máquina de Helado;1;1350;1350
30;3/6/2024;3;30;Molinillo de Café;1;650;650
31;4/6/2024;1;31;Sartén Eléctrico;1;480;480
32;5/6/2024;4;32;Exprimidor de Cítricos;1;130;130
33;6/6/2024;2;33;Plancha de Vapor;1;990;990
34;7/6/2024;1;34;Máquina de Palomitas;1;290;290
35;8/6/2024;3;35;Máquina de Pasta;1;1250;1250
36;9/6/2024;1;36;Sartén Eléctrico;1;550;550
37;10/6/2024;4;37;Licuadora de Alta Velocidad;1;370;370
38;11/6/2024;2;38;Horno Tostador;1;850;850
39;12/6/2024;1;39;Máquina de Cupcakes;1;420;420
40;13/6/2024;3;40;Cafetera Programable;1;590;590
41;14/6/2024;1;41;Freidora de Aire;1;320;320
42;15/6/2024;4;42;Molino de Café;1;150;150
43;16/6/2024;2;43;Tetera Eléctrica;1;890;890
44;17/6/2024;1;44;Cafetera Express;1;1050;1050
45;18/6/2024;3;45;Plancha Grill;1;740;740
46;19/6/2024;1;46;Tostadora de Bagel;1;480;480
47;20/6/2024;4;47;Licuadora de Alta Potencia;1;520;520
48;21/6/2024;2;48;Trituradora de Hielo;1;990;990
49;22/6/2024;1;49;Parrilla Eléctrica;1;720;720
50;23/6/2024;3;50;Cafetera de Goteo;1;890;890
